Num,ID,Location,SearchType,PropertyType,TITLE,AGENT_ID,AGENT_BRANCH,AGENT_NAME,AGENT_SELLER_TYPE,BATHROOMS,BEDROOMS,BER,CATEGORY,MONTHLY_PRICE,PRICE,LATITUDE,LONGITUDE,PUBLISH_DATE
1304,5358295,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Sea Breeze, Hillside, Aghada, Co. Cork",1957,Cronin Wall Properties,Shay Cronin,BRANDED_AGENT,3 Bath,4 Bed,C2,Buy,585000,"€585,000",51.842122,-8.204495,2023-09-01 08:17:57
1305,5296238,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"9 Curragh Glen, Aghada, Co. Cork",2010,Colbert & Co Estate Agents,James Colbert,BRANDED_AGENT,3 Bath,4 Bed,C1,Buy,355000,"€355,000",51.836171,-8.207607,2023-09-11 08:23:28
1306,4689213,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DETACHED_HOUSE,"Aghada Hall, Aghada, Midleton, Co. Cork",2010,Colbert & Co Estate Agents,James Colbert,BRANDED_AGENT,5 Bath,5 Bed,C3,Buy,Price on Application,Price on Application,51.840713,-8.218496,2023-09-11 08:23:28
1307,5331918,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SEMI_DETACHED_HOUSE,"Ard an Ghleanna, Aghada, Co. Cork",2569,Cahalane Skuse Auctioneers & Valuers,Niall Cahalane,UNBRANDED_AGENT,N.A.,3 & 4 bed,NA,New Homes,395000,"From €395,000",51.83612682215656,-8.212902206634993,2023-07-11 11:13:15
1308,5329179,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SEMI_DETACHED_HOUSE,"Ard an Ghleanna, Aghada, Co. Cork",1957,Cronin Wall Properties,Cronin Wall,BRANDED_AGENT,N.A.,3 & 4 bed,NA,New Homes,395000,"From €395,000",51.835916632520195,-8.213535304600782,2023-07-24 08:44:19
1309,4527671,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.TERRACED_HOUSE,"2 Lower Aghada, Rostellan, Co. Cork",9993,AherneLoughnan,Liam O Leary,UNBRANDED_AGENT,3 Bath,3 Bed,D1,Buy,230000,"€230,000",51.843397,-8.209365,2023-06-29 10:31:41
1310,5357959,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.TOWNHOUSE,"Saint Anthonys, Aghada, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,1 Bath,3 Bed,E1,Buy,185000,"€185,000",51.836207,-8.21013,2023-07-28 13:51:25
1311,5409915,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Radharc na Mara, Rostellan, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,Price on Application,Price on Application,51.84326889188307,-8.193429648138107,2023-09-11 11:05:34
1312,5379591,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Aghada Village, Aghada, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,Price on Application,Price on Application,51.835899045981904,-8.209456932285093,2023-08-15 18:15:19
1313,4709125,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"c. 6.2 acres, Church Road, Upper Aghada, Midleton, Co. Cork",1957,Cronin Wall Properties,Cronin Wall,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,90000,"€90,000",51.837840089564736,-8.220697904058227,2023-09-01 08:17:57
1314,4674288,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Site 2, Careystown, Whitegate, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,Price on Application,Price on Application,51.83320264254314,-8.218346575815048,2023-07-15 07:33:08
1315,4674286,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Site 1, Careystown, Whitegate, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,Price on Application,Price on Application,51.83321696737639,-8.21841396785814,2023-07-15 07:33:08
1316,4555808,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Site Three, Harbours Edge, Lower Aghada, Aghada, Co. Cork",2010,Colbert & Co Estate Agents,James Colbert,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,320000,"€320,000",51.84281397545223,-8.210889290012062,2023-09-11 08:23:28
1317,4553708,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.SITE,"Site One, Harbours Edge, Aghada, Co. Cork",2010,Colbert & Co Estate Agents,James Colbert,BRANDED_AGENT,N.A.,N.A.,N.A.,Buy,320000,"€320,000",51.84261765687674,-8.21096858141982,2023-09-11 08:23:28
1318,5409963,Location.AGHADA_CORK,SearchType.COMMERCIAL_RENT,PropertyType.DEVELOPMENT_LAND,"Radharc na Mara, Rostellan, Midleton, Co. Cork",2577,Russell Estate Agents,Shane Russell M.I.P.A.V. M.C.E.I.,BRANDED_AGENT,N.A.,N.A.,SI_666,Commercial,Price on Application,Price on Application,51.84327552031556,-8.193268715597782,2023-09-11 11:13:41.784000
